IS, 2011, liver, 0, num, living
IS, 2011, pancreas, -, num, living
IS, 2011, heart, -, num, living
IS, 2011, lung, -, num, living
IS, 2011, heart/lung, -, num, living
IS, 2011, kidney, 34.54, pmp, living
IS, 2011, liver, 0, pmp, living
IS, 2011, pancreas, -, pmp, living
IS, 2011, heart, -, pmp, living
IS, 2011, lung, -, pmp, living
IS, 2011, heart/lung, -, pmp, living
IS, 2012, kidney, 0, num, deceased
IS, 2012, liver, 0, num, deceased
IS, 2012, pancreas, 0, num, deceased
IS, 2012, heart, 0, num, deceased
IS, 2012, lung, 0, num, deceased
IS, 2012, heart/lung, -, num, deceased
IS, 2012, kidney, 0, pmp, deceased
IS, 2012, liver, 0, pmp, deceased
IS, 2012, pancreas, 0, pmp, deceased
IS, 2012, heart, 0, pmp, deceased
IS, 2012, lung, 0, pmp, deceased
IS, 2012, heart/lung, -, pmp, deceased
IS, 2012, kidney, 6, num, living
IS, 2012, liver, 0, num, living
IS, 2012, pancreas, -, num, living
IS, 2012, heart, -, num, living
IS, 2012, lung, -, num, living
IS, 2012, heart/lung, -, num, living
IS, 2012, kidney, 18.64, pmp, living
IS, 2012, liver, 0, pmp, living
IS, 2012, pancreas, -, pmp, living
IS, 2012, heart, -, pmp, living
IS, 2012, lung, -, pmp, living
IS, 2012, heart/lung, -, pmp, living
IS, 2013, kidney, 0, num, deceased
IS, 2013, liver, 0, num, deceased
IS, 2013, pancreas, 0, num, deceased
IS, 2013, heart, 0, num, deceased
IS, 2013, lung, 0, num, deceased
IS, 2013, heart/lung, -, num, deceased
IS, 2013, kidney, 0, pmp, deceased
IS, 2013, liver, 0, pmp, deceased
IS, 2013, pancreas, 0, pmp, deceased
IS, 2013, heart, 0, pmp, deceased
IS, 2013, lung, 0, pmp, deceased
IS, 2013, heart/lung, -, pmp, deceased
IS, 2013, kidney, 8, num, living
IS, 2013, liver, 0, num, living
IS, 2013, pancreas, -, num, living
IS, 2013, heart, -, num, living
IS, 2013, lung, -, num, living
IS, 2013, heart/lung, -, num, living
IS, 2013, kidney, 24.71, pmp, living
IS, 2013, liver, 0, pmp, living
IS, 2013, pancreas, -, pmp, living
IS, 2013, heart, -, pmp, living
IS, 2013, lung, -, pmp, living
IS, 2013, heart/lung, -, pmp, living
IS, 2014, kidney, 0, num, deceased
IS, 2014, liver, 0, num, deceased
IS, 2014, pancreas, 0, num, deceased
IS, 2014, heart, 0, num, deceased
IS, 2014, lung, 0, num, deceased
IS, 2014, heart/lung, -, num, deceased
IS, 2014, kidney, 0, pmp, deceased
IS, 2014, liver, 0, pmp, deceased
IS, 2014, pancreas, 0, pmp, deceased
IS, 2014, heart, 0, pmp, deceased
IS, 2014, lung, 0, pmp, deceased
IS, 2014, heart/lung, -, pmp, deceased
IS, 2014, kidney, 8, num, living
IS, 2014, liver, 0, num, living
IS, 2014, pancreas, -, num, living
IS, 2014, heart, -, num, living
IS, 2014, lung, -, num, living
IS, 2014, heart/lung, -, num, living
IS, 2014, kidney, 24.56, pmp, living
IS, 2014, liver, 0, pmp, living
IS, 2014, pancreas, -, pmp, living
IS, 2014, heart, -, pmp, living
IS, 2014, lung, -, pmp, living
IS, 2014, heart/lung, -, pmp, living
IS, 2015, kidney, 0, num, deceased
IS, 2015, liver, 0, num, deceased
IS, 2015, pancreas, 0, num, deceased
IS, 2015, heart, 0, num, deceased
IS, 2015, lung, 0, num, deceased
IS, 2015, heart/lung, -, num, deceased
IS, 2015, kidney, 0, pmp, deceased
IS, 2015, liver, 0, pmp, deceased
IS, 2015, pancreas, 0, pmp, deceased
IS, 2015, heart, 0, pmp, deceased
IS, 2015, lung, 0, pmp, deceased
IS, 2015, heart/lung, -, pmp, deceased
IS, 2015, kidney, 7, num, living
IS, 2015, liver, 0, num, living
IS, 2015, pancreas, -, num, living
IS, 2015, heart, -, num, living
IS, 2015, lung, -, num, living
IS, 2015, heart/lung, -, num, living
IS, 2015, kidney, 21.27, pmp, living
IS, 2015, liver, 0, pmp, living
IS, 2015, pancreas, -, pmp, living
IS, 2015, heart, -, pmp, living
IS, 2015, lung, -, pmp, living
IS, 2015, heart/lung, -, pmp, living
IS, 2016, kidney, 0, num, deceased
IS, 2016, liver, 0, num, deceased
IS, 2016, pancreas, 0, num, deceased
IS, 2016, heart, 0, num, deceased
IS, 2016, lung, 0, num, deceased
IS, 2016, heart/lung, -, num, deceased
IS, 2016, kidney, 0, pmp, deceased
IS, 2016, liver, 0, pmp, deceased
IS, 2016, pancreas, 0, pmp, deceased
IS, 2016, heart, 0, pmp, deceased
IS, 2016, lung, 0, pmp, deceased
IS, 2016, heart/lung, -, pmp, deceased
IS, 2016, kidney, 0, num, living
IS, 2016, liver, 0, num, living
IS, 2016, pancreas, -, num, living
IS, 2016, heart, -, num, living
IS, 2016, lung, -, num, living
IS, 2016, heart/lung, -, num, living
IS, 2016, kidney, 0, pmp, living
IS, 2016, liver, 0, pmp, living
IS, 2016, pancreas, -, pmp, living
IS, 2016, heart, -, pmp, living
IS, 2016, lung, -, pmp, living
IS, 2016, heart/lung, -, pmp, living
IS, 2017, kidney, 0, num, deceased
IS, 2017, liver, 0, num, deceased
IS, 2017, pancreas, 0, num, deceased
IS, 2017, heart, 0, num, deceased
IS, 2017, lung, 0, num, deceased
IS, 2017, heart/lung, -, num, deceased
IS, 2017, kidney, 0, pmp, deceased
IS, 2017, liver, 0, pmp, deceased
IS, 2017, pancreas, 0, pmp, deceased
IS, 2017, heart, 0, pmp, deceased
IS, 2017, lung, 0, pmp, deceased
IS, 2017, heart/lung, -, pmp, deceased
IS, 2017, kidney, 8, num, living
IS, 2017, liver, 0, num, living
IS, 2017, pancreas, -, num, living
IS, 2017, heart, -, num, living
IS, 2017, lung, -, num, living
IS, 2017, heart/lung, -, num, living
IS, 2017, kidney, 23.07, pmp, living
IS, 2017, liver, 0, pmp, living
IS, 2017, pancreas, -, pmp, living
IS, 2017, heart, -, pmp, living
IS, 2017, lung, -, pmp, living
IS, 2017, heart/lung, -, pmp, living
IS, 2018, kidney, 0, num, deceased
IS, 2018, liver, 0, num, deceased
IS, 2018, pancreas, 0, num, deceased
IS, 2018, heart, 0, num, deceased
IS, 2018, lung, 0, num, deceased
IS, 2018, heart/lung, -, num, deceased
IS, 2018, kidney, 0, pmp, deceased
IS, 2018, liver, 0, pmp, deceased
IS, 2018, pancreas, 0, pmp, deceased
IS, 2018, heart, 0, pmp, deceased
IS, 2018, lung, 0, pmp, deceased
IS, 2018, heart/lung, -, pmp, deceased
IS, 2018, kidney, 9, num, living
IS, 2018, liver, 0, num, living
IS, 2018, pancreas, -, num, living
IS, 2018, heart, -, num, living
IS, 2018, lung, -, num, living
IS, 2018, heart/lung, -, num, living
IS, 2018, kidney, 25.31, pmp, living
IS, 2018, liver, 0, pmp, living
IS, 2018, pancreas, -, pmp, living
IS, 2018, heart, -, pmp, living
IS, 2018, lung, -, pmp, living
IS, 2018, heart/lung, -, pmp, living
IN, 1993, kidney, 0, num, deceased
IN, 1993, liver, 0, num, deceased
IN, 1993, pancreas, 0, num, deceased
IN, 1993, heart, 0, num, deceased
IN, 1993, lung, 0, num, deceased
IN, 1993, heart/lung, -, num, deceased
IN, 1993, kidney, 0, pmp, deceased
IN, 1993, liver, 0, pmp, deceased
IN, 1993, pancreas, 0, pmp, deceased
IN, 1993, heart, 0, pmp, deceased
IN, 1993, lung, 0, pmp, deceased
IN, 1993, heart/lung, -, pmp, deceased
IN, 1993, kidney, 543, num, living
IN, 1993, liver, 0, num, living
IN, 1993, pancreas, -, num, living
IN, 1993, heart, -, num, living
IN, 1993, lung, -, num, living
IN, 1993, heart/lung, -, num, living
IN, 1993, kidney, 0, pmp, living
IN, 1993, liver, 0, pmp, living
IN, 1993, pancreas, -, pmp, living
IN, 1993, heart, -, pmp, living
IN, 1993, lung, -, pmp, living
IN, 1993, heart/lung, -, pmp, living
IN, 1994, kidney, 0, num, deceased
IN, 1994, liver, 0, num, deceased
IN, 1994, pancreas, 0, num, deceased
IN, 1994, heart, 0, num, deceased
IN, 1994, lung, 0, num, deceased
IN, 1994, heart/lung, -, num, deceased
IN, 1994, kidney, 0, pmp, deceased
IN, 1994, liver, 0, pmp, deceased
IN, 1994, pancreas, 0, pmp, deceased
IN, 1994, heart, 0, pmp, deceased
IN, 1994, lung, 0, pmp, deceased
IN, 1994, heart/lung, -, pmp, deceased
IN, 1994, kidney, 683, num, living
IN, 1994, liver, 0, num, living
IN, 1994, pancreas, -, num, living
IN, 1994, heart, -, num, living
IN, 1994, lung, -, num, living
IN, 1994, heart/lung, -, num, living
IN, 1994, kidney, 0, pmp, living
IN, 1994, liver, 0, pmp, living
IN, 1994, pancreas, -, pmp, living
IN, 1994, heart, -, pmp, living
IN, 1994, lung, -, pmp, living
IN, 1994, heart/lung, -, pmp, living
IN, 1995, kidney, 0, num, deceased
IN, 1995, liver, 0, num, deceased
IN, 1995, pancreas, 0, num, deceased
IN, 1995, heart, 0, num, deceased
IN, 1995, lung, 0, num, deceased
IN, 1995, heart/lung, -, num, deceased
IN, 1995, kidney, 0, pmp, deceased
IN, 1995, liver, 0, pmp, deceased
IN, 1995, pancreas, 0, pmp, deceased
IN, 1995, heart, 0, pmp, deceased
IN, 1995, lung, 0, pmp, deceased
IN, 1995, heart/lung, -, pmp, deceased
IN, 1995, kidney, 684, num, living
IN, 1995, liver, 0, num, living
IN, 1995, pancreas, -, num, living
IN, 1995, heart, -, num, living
IN, 1995, lung, -, num, living
IN, 1995, heart/lung, -, num, living
IN, 1995, kidney, 0, pmp, living
IN, 1995, liver, 0, pmp, living
IN, 1995, pancreas, -, pmp, living
IN, 1995, heart, -, pmp, living
IN, 1995, lung, -, pmp, living
IN, 1995, heart/lung, -, pmp, living
IN, 1996, kidney, 0, num, deceased
IN, 1996, liver, 0, num, deceased
IN, 1996, pancreas, 0, num, deceased
IN, 1996, heart, 0, num, deceased
IN, 1996, lung, 0, num, deceased
IN, 1996, heart/lung, -, num, deceased
IN, 1996, kidney, 0, pmp, deceased
IN, 1996, liver, 0, pmp, deceased
IN, 1996, pancreas, 0, pmp, deceased
IN, 1996, heart, 0, pmp, deceased
IN, 1996, lung, 0, pmp, deceased
IN, 1996, heart/lung, -, pmp, deceased
IN, 1996, kidney, 738, num, living
IN, 1996, liver, 0, num, living
IN, 1996, pancreas, -, num, living
IN, 1996, heart, -, num, living
