GE, 2012, heart, -, num, living
GE, 2012, lung, -, num, living
GE, 2012, heart/lung, -, num, living
GE, 2012, kidney, 3.33, pmp, living
GE, 2012, liver, 0, pmp, living
GE, 2012, pancreas, -, pmp, living
GE, 2012, heart, -, pmp, living
GE, 2012, lung, -, pmp, living
GE, 2012, heart/lung, -, pmp, living
GE, 2013, kidney, 0, num, deceased
GE, 2013, liver, 0, num, deceased
GE, 2013, pancreas, 0, num, deceased
GE, 2013, heart, 0, num, deceased
GE, 2013, lung, 0, num, deceased
GE, 2013, heart/lung, -, num, deceased
GE, 2013, kidney, 0, pmp, deceased
GE, 2013, liver, 0, pmp, deceased
GE, 2013, pancreas, 0, pmp, deceased
GE, 2013, heart, 0, pmp, deceased
GE, 2013, lung, 0, pmp, deceased
GE, 2013, heart/lung, -, pmp, deceased
GE, 2013, kidney, 32, num, living
GE, 2013, liver, 0, num, living
GE, 2013, pancreas, -, num, living
GE, 2013, heart, -, num, living
GE, 2013, lung, -, num, living
GE, 2013, heart/lung, -, num, living
GE, 2013, kidney, 7.11, pmp, living
GE, 2013, liver, 0, pmp, living
GE, 2013, pancreas, -, pmp, living
GE, 2013, heart, -, pmp, living
GE, 2013, lung, -, pmp, living
GE, 2013, heart/lung, -, pmp, living
GE, 2014, kidney, 0, num, deceased
GE, 2014, liver, 0, num, deceased
GE, 2014, pancreas, 0, num, deceased
GE, 2014, heart, 0, num, deceased
GE, 2014, lung, 0, num, deceased
GE, 2014, heart/lung, -, num, deceased
GE, 2014, kidney, 0, pmp, deceased
GE, 2014, liver, 0, pmp, deceased
GE, 2014, pancreas, 0, pmp, deceased
GE, 2014, heart, 0, pmp, deceased
GE, 2014, lung, 0, pmp, deceased
GE, 2014, heart/lung, -, pmp, deceased
GE, 2014, kidney, 27, num, living
GE, 2014, liver, 2, num, living
GE, 2014, pancreas, -, num, living
GE, 2014, heart, -, num, living
GE, 2014, lung, -, num, living
GE, 2014, heart/lung, -, num, living
GE, 2014, kidney, 6, pmp, living
GE, 2014, liver, 0.44, pmp, living
GE, 2014, pancreas, -, pmp, living
GE, 2014, heart, -, pmp, living
GE, 2014, lung, -, pmp, living
GE, 2014, heart/lung, -, pmp, living
GE, 2015, kidney, 0, num, deceased
GE, 2015, liver, 0, num, deceased
GE, 2015, pancreas, 0, num, deceased
GE, 2015, heart, 0, num, deceased
GE, 2015, lung, 0, num, deceased
GE, 2015, heart/lung, -, num, deceased
GE, 2015, kidney, 0, pmp, deceased
GE, 2015, liver, 0, pmp, deceased
GE, 2015, pancreas, 0, pmp, deceased
GE, 2015, heart, 0, pmp, deceased
GE, 2015, lung, 0, pmp, deceased
GE, 2015, heart/lung, -, pmp, deceased
GE, 2015, kidney, 50, num, living
GE, 2015, liver, 6, num, living
GE, 2015, pancreas, -, num, living
GE, 2015, heart, -, num, living
GE, 2015, lung, -, num, living
GE, 2015, heart/lung, -, num, living
GE, 2015, kidney, 13.5, pmp, living
GE, 2015, liver, 1.60, pmp, living
GE, 2015, pancreas, -, pmp, living
GE, 2015, heart, -, pmp, living
GE, 2015, lung, -, pmp, living
GE, 2015, heart/lung, -, pmp, living
GE, 2016, kidney, 0, num, deceased
GE, 2016, liver, 0, num, deceased
GE, 2016, pancreas, 0, num, deceased
GE, 2016, heart, 0, num, deceased
GE, 2016, lung, 0, num, deceased
GE, 2016, heart/lung, -, num, deceased
GE, 2016, kidney, 0, pmp, deceased
GE, 2016, liver, 0, pmp, deceased
GE, 2016, pancreas, 0, pmp, deceased
GE, 2016, heart, 0, pmp, deceased
GE, 2016, lung, 0, pmp, deceased
GE, 2016, heart/lung, -, pmp, deceased
GE, 2016, kidney, 19, num, living
GE, 2016, liver, 13, num, living
GE, 2016, pancreas, -, num, living
GE, 2016, heart, -, num, living
GE, 2016, lung, -, num, living
GE, 2016, heart/lung, -, num, living
GE, 2016, kidney, 5.10, pmp, living
GE, 2016, liver, 3.5, pmp, living
GE, 2016, pancreas, -, pmp, living
GE, 2016, heart, -, pmp, living
GE, 2016, lung, -, pmp, living
GE, 2016, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GR, 1993, kidney, 86, num, deceased
GR, 1993, liver, 15, num, deceased
GR, 1993, pancreas, 0, num, deceased
GR, 1993, heart, 10, num, deceased
GR, 1993, lung, 0, num, deceased
GR, 1993, heart/lung, -, num, deceased
GR, 1993, kidney, 8.60, pmp, deceased
GR, 1993, liver, 1.5, pmp, deceased
GR, 1993, pancreas, 0, pmp, deceased
GR, 1993, heart, 1, pmp, deceased
GR, 1993, lung, 0, pmp, deceased
GR, 1993, heart/lung, -, pmp, deceased
GR, 1993, kidney, 55, num, living
GR, 1993, liver, 0, num, living
GR, 1993, pancreas, -, num, living
GR, 1993, heart, -, num, living
GR, 1993, lung, -, num, living
GR, 1993, heart/lung, -, num, living
GR, 1993, kidney, 5.5, pmp, living
GR, 1993, liver, 0, pmp, living
GR, 1993, pancreas, -, pmp, living
GR, 1993, heart, -, pmp, living
GR, 1993, lung, -, pmp, living
GR, 1993, heart/lung, -, pmp, living
GR, 1994, kidney, 46, num, deceased
GR, 1994, liver, 7, num, deceased
GR, 1994, pancreas, 0, num, deceased
GR, 1994, heart, 13, num, deceased
GR, 1994, lung, 2, num, deceased
GR, 1994, heart/lung, -, num, deceased
GR, 1994, kidney, 4.60, pmp, deceased
GR, 1994, liver, 0.7, pmp, deceased
GR, 1994, pancreas, 0, pmp, deceased
GR, 1994, heart, 1.30, pmp, deceased
GR, 1994, lung, 0.2, pmp, deceased
GR, 1994, heart/lung, -, pmp, deceased
GR, 1994, kidney, 67, num, living
GR, 1994, liver, 0, num, living
GR, 1994, pancreas, -, num, living
GR, 1994, heart, -, num, living
GR, 1994, lung, -, num, living
GR, 1994, heart/lung, -, num, living
GR, 1994, kidney, 6.70, pmp, living
GR, 1994, liver, 0, pmp, living
GR, 1994, pancreas, -, pmp, living
