UY, 2003, actual, 16.10, pmp, deceased
UY, 2003, utilized, -, num, deceased
UY, 2003, utilized, -, pmp, deceased
UY, 2003, living, 5, num, living
UY, 2003, living, 1.60, pmp, living
UY, 2004, actual, 56, num, deceased
UY, 2004, actual, 18.10, pmp, deceased
UY, 2004, utilized, -, num, deceased
UY, 2004, utilized, -, pmp, deceased
UY, 2004, living, 9, num, living
UY, 2004, living, 2.9, pmp, living
UY, 2005, actual, 64, num, deceased
UY, 2005, actual, 20, pmp, deceased
UY, 2005, utilized, -, num, deceased
UY, 2005, utilized, -, pmp, deceased
UY, 2005, living, 3, num, living
UY, 2005, living, 1.30, pmp, living
UY, 2006, actual, 82, num, deceased
UY, 2006, actual, 25.60, pmp, deceased
UY, 2006, utilized, -, num, deceased
UY, 2006, utilized, -, pmp, deceased
UY, 2006, living, 8, num, living
UY, 2006, living, 2.5, pmp, living
UY, 2007, actual, 60, num, deceased
UY, 2007, actual, 18.08, pmp, deceased
UY, 2007, utilized, -, num, deceased
UY, 2007, utilized, -, pmp, deceased
UY, 2007, living, 6, num, living
UY, 2007, living, 1.81, pmp, living
UY, 2008, actual, 63, num, deceased
UY, 2008, actual, 19.10, pmp, deceased
UY, 2008, utilized, -, num, deceased
UY, 2008, utilized, -, pmp, deceased
UY, 2008, living, 7, num, living
UY, 2008, living, 2.10, pmp, living
UY, 2009, actual, 64, num, deceased
UY, 2009, actual, 19.40, pmp, deceased
UY, 2009, utilized, -, num, deceased
UY, 2009, utilized, -, pmp, deceased
UY, 2009, living, 7, num, living
UY, 2009, living, 2.10, pmp, living
UY, 2010, actual, 49, num, deceased
UY, 2010, actual, 14.54, pmp, deceased
UY, 2010, utilized, -, num, deceased
UY, 2010, utilized, -, pmp, deceased
UY, 2010, living, 3, num, living
UY, 2010, living, 0.9, pmp, living
UY, 2011, actual, 67, num, deceased
UY, 2011, actual, 20.30, pmp, deceased
UY, 2011, utilized, -, num, deceased
UY, 2011, utilized, -, pmp, deceased
UY, 2011, living, 4, num, living
UY, 2011, living, 1.21, pmp, living
UY, 2012, actual, 54, num, deceased
UY, 2012, actual, 16.15, pmp, deceased
UY, 2012, utilized, -, num, deceased
UY, 2012, utilized, -, pmp, deceased
UY, 2012, living, 3, num, living
UY, 2012, living, 0.91, pmp, living
UY, 2013, actual, 59, num, deceased
UY, 2013, actual, 18.30, pmp, deceased
UY, 2013, utilized, -, num, deceased
UY, 2013, utilized, -, pmp, deceased
UY, 2013, living, 12, num, living
UY, 2013, living, 3.60, pmp, living
UY, 2014, actual, 68, num, deceased
UY, 2014, actual, 20.67, pmp, deceased
UY, 2014, utilized, 64, num, deceased
UY, 2014, utilized, 19.45, pmp, deceased
UY, 2014, living, 13, num, living
UY, 2014, living, 3.95, pmp, living
UY, 2015, actual, 45, num, deceased
UY, 2015, actual, 13.71, pmp, deceased
UY, 2015, utilized, 43, num, deceased
UY, 2015, utilized, 13.10, pmp, deceased
UY, 2015, living, 20, num, living
UY, 2015, living, 6.10, pmp, living
UY, 2016, actual, 57, num, deceased
UY, 2016, actual, 17.38, pmp, deceased
UY, 2016, utilized, 56, num, deceased
UY, 2016, utilized, 17.07, pmp, deceased
UY, 2016, living, 16, num, living
UY, 2016, living, 4.88, pmp, living
UY, 2017, actual, 67, num, deceased
UY, 2017, actual, 20.43, pmp, deceased
UY, 2017, utilized, 66, num, deceased
UY, 2017, utilized, 20.12, pmp, deceased
UY, 2017, living, 19, num, living
UY, 2017, living, 5.80, pmp, living
UY, 2017, actual, 67, num, deceased
UY, 2017, actual, 20.43, pmp, deceased
UY, 2017, utilized, 66, num, deceased
UY, 2017, utilized, 20.12, pmp, deceased
UY, 2017, living, 19, num, living
UY, 2017, living, 5.80, pmp, living
