PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 1998, actual, 52, num, deceased
PE, 1998, actual, 2, pmp, deceased
PE, 1998, utilized, -, num, deceased
PE, 1998, utilized, -, pmp, deceased
PE, 1998, living, 0, num, living
PE, 1998, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2000, actual, 0, num, deceased
PE, 2000, actual, 0, pmp, deceased
PE, 2000, utilized, -, num, deceased
PE, 2000, utilized, -, pmp, deceased
PE, 2000, living, 0, num, living
PE, 2000, living, 0, pmp, living
PE, 2001, actual, 70, num, deceased
PE, 2001, actual, 2.60, pmp, deceased
PE, 2001, utilized, -, num, deceased
PE, 2001, utilized, -, pmp, deceased
PE, 2001, living, 0, num, living
PE, 2001, living, 0, pmp, living
PE, 2002, actual, 36, num, deceased
PE, 2002, actual, 1.30, pmp, deceased
PE, 2002, utilized, -, num, deceased
PE, 2002, utilized, -, pmp, deceased
PE, 2002, living, 0, num, living
PE, 2002, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2010, actual, 94, num, deceased
PE, 2010, actual, 3.20, pmp, deceased
PE, 2010, utilized, -, num, deceased
PE, 2010, utilized, -, pmp, deceased
PE, 2010, living, 85, num, living
PE, 2010, living, 2.83, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2013, actual, 97, num, deceased
PE, 2013, actual, 3.20, pmp, deceased
PE, 2013, utilized, -, num, deceased
PE, 2013, utilized, -, pmp, deceased
PE, 2013, living, 13, num, living
PE, 2013, living, 0.4, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2015, actual, 82, num, deceased
PE, 2015, actual, 2.60, pmp, deceased
PE, 2015, utilized, -, num, deceased
PE, 2015, utilized, -, pmp, deceased
PE, 2015, living, 0, num, living
PE, 2015, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
