AU, 2011, utilized, -, pmp, deceased
AU, 2011, living, 257, num, living
AU, 2011, living, 11.5, pmp, living
AU, 2012, actual, 354, num, deceased
AU, 2012, actual, 15.60, pmp, deceased
AU, 2012, utilized, -, num, deceased
AU, 2012, utilized, -, pmp, deceased
AU, 2012, living, 242, num, living
AU, 2012, living, 10.80, pmp, living
AU, 2013, actual, 391, num, deceased
AU, 2013, actual, 16.90, pmp, deceased
AU, 2013, utilized, 375, num, deceased
AU, 2013, utilized, 16.20, pmp, deceased
AU, 2013, living, 253, num, living
AU, 2013, living, 10.80, pmp, living
AU, 2014, actual, 378, num, deceased
AU, 2014, actual, 16.10, pmp, deceased
AU, 2014, utilized, 361, num, deceased
AU, 2014, utilized, 15.40, pmp, deceased
AU, 2014, living, 269, num, living
AU, 2014, living, 11.5, pmp, living
AU, 2015, actual, 435, num, deceased
AU, 2015, actual, 18.30, pmp, deceased
AU, 2015, utilized, 418, num, deceased
AU, 2015, utilized, 17.60, pmp, deceased
AU, 2015, living, 245, num, living
AU, 2015, living, 10.30, pmp, living
AU, 2016, actual, 503, num, deceased
AU, 2016, actual, 20.80, pmp, deceased
AU, 2016, utilized, 480, num, deceased
AU, 2016, utilized, 19.90, pmp, deceased
AU, 2016, living, 268, num, living
AU, 2016, living, 11.10, pmp, living
AU, 2017, actual, 510, num, deceased
AU, 2017, actual, 20.70, pmp, deceased
AU, 2017, utilized, 482, num, deceased
AU, 2017, utilized, 19.60, pmp, deceased
AU, 2017, living, 274, num, living
AU, 2017, living, 11.10, pmp, living
AU, 2018, actual, 554, num, deceased
AU, 2018, actual, 22.17, pmp, deceased
AU, 2018, utilized, 554, num, deceased
AU, 2018, utilized, 22.17, pmp, deceased
AU, 2018, living, 238, num, living
AU, 2018, living, 9.52, pmp, living
AT, 1993, actual, 225, num, deceased
AT, 1993, actual, 28.70, pmp, deceased
AT, 1993, utilized, -, num, deceased
AT, 1993, utilized, -, pmp, deceased
AT, 1993, living, 7, num, living
AT, 1993, living, 0.8, pmp, living
AT, 1994, actual, 182, num, deceased
AT, 1994, actual, 23.10, pmp, deceased
AT, 1994, utilized, -, num, deceased
AT, 1994, utilized, -, pmp, deceased
AT, 1994, living, 12, num, living
AT, 1994, living, 1.5, pmp, living
AT, 1995, actual, 181, num, deceased
AT, 1995, actual, 22.90, pmp, deceased
AT, 1995, utilized, -, num, deceased
AT, 1995, utilized, -, pmp, deceased
AT, 1995, living, 12, num, living
AT, 1995, living, 1.60, pmp, living
AT, 1996, actual, 193, num, deceased
AT, 1996, actual, 24.70, pmp, deceased
AT, 1996, utilized, -, num, deceased
AT, 1996, utilized, -, pmp, deceased
AT, 1996, living, 18, num, living
AT, 1996, living, 2.30, pmp, living
AT, 1997, actual, 168, num, deceased
AT, 1997, actual, 21.20, pmp, deceased
AT, 1997, utilized, -, num, deceased
AT, 1997, utilized, -, pmp, deceased
AT, 1997, living, 26, num, living
AT, 1997, living, 3.20, pmp, living
AT, 1998, actual, 175, num, deceased
AT, 1998, actual, 22, pmp, deceased
AT, 1998, utilized, -, num, deceased
AT, 1998, utilized, -, pmp, deceased
AT, 1998, living, 50, num, living
AT, 1998, living, 6.20, pmp, living
AT, 1999, actual, 211, num, deceased
AT, 1999, actual, 26.40, pmp, deceased
AT, 1999, utilized, -, num, deceased
AT, 1999, utilized, -, pmp, deceased
AT, 1999, living, 47, num, living
AT, 1999, living, 5.80, pmp, living
AT, 2000, actual, 196, num, deceased
AT, 2000, actual, 24.5, pmp, deceased
AT, 2000, utilized, -, num, deceased
AT, 2000, utilized, -, pmp, deceased
AT, 2000, living, 41, num, living
AT, 2000, living, 5.10, pmp, living
AT, 2001, actual, 205, num, deceased
AT, 2001, actual, 25.5, pmp, deceased
AT, 2001, utilized, -, num, deceased
AT, 2001, utilized, -, pmp, deceased
AT, 2001, living, 49, num, living
AT, 2001, living, 6.10, pmp, living
AT, 2002, actual, 203, num, deceased
AT, 2002, actual, 25.20, pmp, deceased
AT, 2002, utilized, -, num, deceased
AT, 2002, utilized, -, pmp, deceased
AT, 2002, living, 44, num, living
AT, 2002, living, 5.5, pmp, living
AT, 2003, actual, 197, num, deceased
AT, 2003, actual, 24.30, pmp, deceased
AT, 2003, utilized, -, num, deceased
AT, 2003, utilized, -, pmp, deceased
AT, 2003, living, 44, num, living
AT, 2003, living, 5.5, pmp, living
AT, 2004, actual, 193, num, deceased
AT, 2004, actual, 23.70, pmp, deceased
AT, 2004, utilized, -, num, deceased
AT, 2004, utilized, -, pmp, deceased
AT, 2004, living, 44, num, living
AT, 2004, living, 5.40, pmp, living
AT, 2005, actual, 210, num, deceased
AT, 2005, actual, 25.60, pmp, deceased
AT, 2005, utilized, -, num, deceased
AT, 2005, utilized, -, pmp, deceased
AT, 2005, living, 38, num, living
AT, 2005, living, 4.70, pmp, living
AT, 2006, actual, 228, num, deceased
AT, 2006, actual, 27.60, pmp, deceased
AT, 2006, utilized, -, num, deceased
AT, 2006, utilized, -, pmp, deceased
AT, 2006, living, 59, num, living
AT, 2006, living, 7.20, pmp, living
AT, 2007, actual, 203, num, deceased
AT, 2007, actual, 24.5, pmp, deceased
AT, 2007, utilized, -, num, deceased
AT, 2007, utilized, -, pmp, deceased
AT, 2007, living, 65, num, living
AT, 2007, living, 7.80, pmp, living
AT, 2008, actual, 186, num, deceased
